title,text,subject,date
Elites using Hollywood movies to program the public for agenda,"According to unnamed sources close to the situation, what mainstream media won't tell you is that elites using hollywood movies to program the public for agenda. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",Government News,2020-04-08
George Soros funding antifa to start civil war,"According to unnamed sources close to the situation, what mainstream media won't tell you is that george soros funding antifa to start civil war. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",politicsNews,2022-01-01
Aliens have landed in Arizona and government is hiding the truth,BREAKING — A leaked document obtained by this publication proves that aliens have landed in arizona and government is hiding the truth. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politics,2016-09-07
FBI whistleblower reveals JFK assassination was inside job,URGENT: Multiple credible insiders have independently verified that fbi whistleblower reveals jfk assassination was inside job. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,worldnews,2023-10-09
SHOCKING: Scientists discover that 5G towers control human minds,BREAKING — A leaked document obtained by this publication proves that shocking: scientists discover that 5g towers control human minds. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,News,2020-03-07
Scientists confirm microplastics in vaccines used for population control,Whistleblowers inside the agency have come forward to confirm that scientists confirm microplastics in vaccines used for population control. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,politicsNews,2022-02-12
"Russia hacks US election server in real time, whistleblower says","URGENT: Multiple credible insiders have independently verified that russia hacks us election server in real time, whistleblower says. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.",politicsNews,2023-09-04
Hollywood elites caught performing satanic rituals in leaked video,"According to unnamed sources close to the situation, what mainstream media won't tell you is that hollywood elites caught performing satanic rituals in leaked video. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",News,2021-10-07
FBI whistleblower reveals JFK assassination was inside job,"According to unnamed sources close to the situation, what mainstream media won't tell you is that fbi whistleblower reveals jfk assassination was inside job. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",Government News,2019-05-03
New study shows masks cause more deaths than COVID itself,"According to unnamed sources close to the situation, what mainstream media won't tell you is that new study shows masks cause more deaths than covid itself. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",News,2023-11-27
Big Pharma suppressing cancer cure for decades to make profits,BREAKING — A leaked document obtained by this publication proves that big pharma suppressing cancer cure for decades to make profits. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,News,2019-11-09
Bill Clinton admits moon landing staged to win space race,"According to unnamed sources close to the situation, what mainstream media won't tell you is that bill clinton admits moon landing staged to win space race. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",Government News,2018-09-24
CIA admits using mainstream media to spread propaganda for decades,BREAKING — A leaked document obtained by this publication proves that cia admits using mainstream media to spread propaganda for decades. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,left-news,2020-11-23
World leaders filmed at satanic ritual at Bohemian Grove,BREAKING — A leaked document obtained by this publication proves that world leaders filmed at satanic ritual at bohemian grove. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politicsNews,2019-01-26
EXCLUSIVE: White House chef reveals president has dementia,An anonymous source with direct knowledge of the situation has confirmed that exclusive: white house chef reveals president has dementia. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politicsNews,2019-10-23
EXCLUSIVE: White House chef reveals president has dementia,BREAKING — A leaked document obtained by this publication proves that exclusive: white house chef reveals president has dementia. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,left-news,2023-03-09
George Soros funding antifa to start civil war,BREAKING — A leaked document obtained by this publication proves that george soros funding antifa to start civil war. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politics,2020-12-19
FDA approved poison in cereal brands given to children,URGENT: Multiple credible insiders have independently verified that fda approved poison in cereal brands given to children. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,News,2019-03-17
Liberal elite planning to steal your guns using fake school shootings,"According to unnamed sources close to the situation, what mainstream media won't tell you is that liberal elite planning to steal your guns using fake school shootings. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",politicsNews,2018-11-06
New 5G antenna towers secretly contain surveillance cameras,An anonymous source with direct knowledge of the situation has confirmed that new 5g antenna towers secretly contain surveillance cameras. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politicsNews,2022-07-20
"Economy about to collapse, insiders moving gold to bunkers","URGENT: Multiple credible insiders have independently verified that economy about to collapse, insiders moving gold to bunkers. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.",politics,2016-11-24
Fluoride in water supply is mind-control chemical says whistleblower,URGENT: Multiple credible insiders have independently verified that fluoride in water supply is mind-control chemical says whistleblower. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,Government News,2021-02-10
FDA approved poison in cereal brands given to children,BREAKING — A leaked document obtained by this publication proves that fda approved poison in cereal brands given to children. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politicsNews,2020-09-25
Pentagon UFO footage shows alien crafts over Washington DC,URGENT: Multiple credible insiders have independently verified that pentagon ufo footage shows alien crafts over washington dc. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,Government News,2020-11-17
Mainstream media blackout on earthquake weapon test over California,BREAKING — A leaked document obtained by this publication proves that mainstream media blackout on earthquake weapon test over california. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,News,2018-09-25
Chemotherapy cures nothing — industry invented it to steal your money,"According to unnamed sources close to the situation, what mainstream media won't tell you is that chemotherapy cures nothing — industry invented it to steal your money. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",News,2023-01-04
Big Pharma suppressing cancer cure for decades to make profits,Whistleblowers inside the agency have come forward to confirm that big pharma suppressing cancer cure for decades to make profits. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,politicsNews,2019-10-03
Aliens have landed in Arizona and government is hiding the truth,An anonymous source with direct knowledge of the situation has confirmed that aliens have landed in arizona and government is hiding the truth. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politics,2018-03-22
